source,target,task,input_text,target_text
"The acting FIFA President, Issa Hayatou, refused
to comment on the detail of the latest arrests. But
he maintained neither he nor the organization was corrupt. Appearing for the first time before
the media since taking the role in September
2015, when Blatter was suspended, Hayatou
responded in a similar way to his predecessors in
improbably claiming the current crisis was down
to a handful of errant individuals.","The acting FIFA President, Issa Hayatou, refused
to comment on the detail of the latest arrests.
But he said neither he nor the organization was
corrupt. Hayatou appeared for the first time
before the media since he started the job in
September, when Blatter was suspended, and
said the current crisis was the fault of a few
bad people.",advanced_to_elementary,"simplify: The acting FIFA President, Issa Hayatou, refused
to comment on the detail of the latest arrests. But
he maintained neither he nor the organization was corrupt. Appearing for the first time before
the media since taking the role in September
2015, when Blatter was suspended, Hayatou
responded in a similar way to his predecessors in
improbably claiming the current crisis was down
to a handful of errant individuals.","The acting FIFA President, Issa Hayatou, refused
to comment on the detail of the latest arrests.
But he said neither he nor the organization was
corrupt. Hayatou appeared for the first time
before the media since he started the job in
September, when Blatter was suspended, and
said the current crisis was the fault of a few
bad people."
"From California, we saw how we can now produce plastics from greenhouse gases that are competitive with normal oil-based plastics in price and quality. From Switzerland, we learned how we can recycle and reuse old clothes and shoes more effectively in a recycle system currently deployed in over 60 countries. And from Canada, we learned how smartphones can make bike- sharing more convenient.","From California, we saw how we can now produce plastics from greenhouse gases. These plastics are good quality and not too expensive. From Switzerland, we learned a better way to recycle and reuse old clothes and shoes. And from Canada, we learned how smartphones can make bike-sharing easier.",advanced_to_elementary,"simplify: From California, we saw how we can now produce plastics from greenhouse gases that are competitive with normal oil-based plastics in price and quality. From Switzerland, we learned how we can recycle and reuse old clothes and shoes more effectively in a recycle system currently deployed in over 60 countries. And from Canada, we learned how smartphones can make bike- sharing more convenient.","From California, we saw how we can now produce plastics from greenhouse gases. These plastics are good quality and not too expensive. From Switzerland, we learned a better way to recycle and reuse old clothes and shoes. And from Canada, we learned how smartphones can make bike-sharing easier."
"Jørgen Vig Knudstorp, Lego’s chief executive,
said: “It is a very satisfactory result that shows
our significant growth in recent years in a tough
economic environment. The result for the first half
of 2014 is an outcome of our ability to develop,
launch and distribute Lego products, which
children all over the world put at the top of
their wishlists.”","Lego, based in the small town of Billund in
Denmark, started producing its plastic bricks in
1949 and became a popular and well-known
children’s toy around the world by the 1970s.",advanced_to_elementary,"simplify: Jørgen Vig Knudstorp, Lego’s chief executive,
said: “It is a very satisfactory result that shows
our significant growth in recent years in a tough
economic environment. The result for the first half
of 2014 is an outcome of our ability to develop,
launch and distribute Lego products, which
children all over the world put at the top of
their wishlists.”","Lego, based in the small town of Billund in
Denmark, started producing its plastic bricks in
1949 and became a popular and well-known
children’s toy around the world by the 1970s."
"Future Library creator, Paterson, whose past
works have involved her mapping dead stars
and compiling a slide archive of the history of
darkness through the ages, asked the writers to
tackle “the theme of imagination and time, which
they can take in so many directions”. Mitchell
revealed only the name of the manuscript,
From Me Flows What You Call Time, during
a ceremony in the Norwegian woods next to
where Paterson’s 1,000 trees are planted. The
title is taken from a piece of music by Japanese
composer Toru Takemitsu but, other than
admitting that “it’s somewhat more substantial a
thing than I was expecting”, the author would
say nothing.","The creator of the Future Library asked writers
to write on “the theme of imagination and
time”. Mitchell revealed only the name of the
manuscript, From Me Flows What You Call Time,
during a ceremony in the Norwegian woods
next to where the 1,000 trees are planted. The
title comes from a piece of music by Japanese
composer Toru Takemitsu. Mitchell only told us
that his book is “longer than I thought it would
be.” He said nothing more.",advanced_to_elementary,"simplify: Future Library creator, Paterson, whose past
works have involved her mapping dead stars
and compiling a slide archive of the history of
darkness through the ages, asked the writers to
tackle “the theme of imagination and time, which
they can take in so many directions”. Mitchell
revealed only the name of the manuscript,
From Me Flows What You Call Time, during
a ceremony in the Norwegian woods next to
where Paterson’s 1,000 trees are planted. The
title is taken from a piece of music by Japanese
composer Toru Takemitsu but, other than
admitting that “it’s somewhat more substantial a
thing than I was expecting”, the author would
say nothing.","The creator of the Future Library asked writers
to write on “the theme of imagination and
time”. Mitchell revealed only the name of the
manuscript, From Me Flows What You Call Time,
during a ceremony in the Norwegian woods
next to where the 1,000 trees are planted. The
title comes from a piece of music by Japanese
composer Toru Takemitsu. Mitchell only told us
that his book is “longer than I thought it would
be.” He said nothing more."
"Inventing new technology is only half the battle,
though. More difficult still could be navigating
the legal permissions to copy and store software
before it dies. When IT companies go out of
business, or stop supporting their products, they
may sell the rights on, making it a nightmarish task
to get approval. “To do this properly, the rights of
preservation might need to be incorporated into our
thinking about things like copyright and patents and
licensing. We’re talking about preserving them for
hundreds to thousands of years,” said Cerf.","Inventing new technology helps but it is only part
of the solution. It could be even more difficult to get
the legal permissions to copy and store software
before it dies. “To do this properly, we might need to
think about things like copyright. We’re talking about
preserving documents for hundreds to thousands of
years,” said Cerf.",advanced_to_elementary,"simplify: Inventing new technology is only half the battle,
though. More difficult still could be navigating
the legal permissions to copy and store software
before it dies. When IT companies go out of
business, or stop supporting their products, they
may sell the rights on, making it a nightmarish task
to get approval. “To do this properly, the rights of
preservation might need to be incorporated into our
thinking about things like copyright and patents and
licensing. We’re talking about preserving them for
hundreds to thousands of years,” said Cerf.","Inventing new technology helps but it is only part
of the solution. It could be even more difficult to get
the legal permissions to copy and store software
before it dies. “To do this properly, we might need to
think about things like copyright. We’re talking about
preserving documents for hundreds to thousands of
years,” said Cerf."
"However, pressure on the Accord to contribute to
the payment of displaced workers has ratcheted
up after a rival factory-safety group backed by US
retailers including Walmart and Gap, the Alliance
for Bangladesh Worker Safety, set aside $5m to
help pay factory workers for up to two months
while work is carried out on the buildings it has
identified as needing improvement. It has, so far,
identified five factories in four buildings where
production needed to be suspended.","But there is now more pressure on the Accord
to help pay workers when their factories close.
A rival factory-safety group, supported by US
retailers including Walmart and Gap, the Alliance
for Bangladesh Worker Safety, has given $5
million to help pay factory workers for up to two
months while buildings are improved.",advanced_to_elementary,"simplify: However, pressure on the Accord to contribute to
the payment of displaced workers has ratcheted
up after a rival factory-safety group backed by US
retailers including Walmart and Gap, the Alliance
for Bangladesh Worker Safety, set aside $5m to
help pay factory workers for up to two months
while work is carried out on the buildings it has
identified as needing improvement. It has, so far,
identified five factories in four buildings where
production needed to be suspended.","But there is now more pressure on the Accord
to help pay workers when their factories close.
A rival factory-safety group, supported by US
retailers including Walmart and Gap, the Alliance
for Bangladesh Worker Safety, has given $5
million to help pay factory workers for up to two
months while buildings are improved."
"I was at the pier but couldn’t get out because of
my injuries. I felt pure terror. I shouted for help
and a guy put his arm in and pulled me out on to
the steps. Then, another man appeared and said
he was an orthopaedic surgeon who specialized
in marine trauma. He had been driving into Doolin
when he saw what was happening on the pier.
I was so cold and very worried – I didn’t know
how bad my injuries were and my biggest fear
was internal bleeding. He checked me over and
was very reassuring, saying he couldn’t feel any
evidence of it but that I probably had broken
bones. I found out later that I had six spinal
fractures, three broken ribs and a damaged lung.","I was in hospital for five days and I couldn’t work
for five months. I couldn’t move normally and I
was in pain. Then, doctors told me I had posttraumatic
stress. My near-death experience made
me anxious about everything. I felt that people
were looking at me in the wrong way, I began to
have problems with loud noises and I suffered
from memory loss. I could no longer work.",advanced_to_elementary,"simplify: I was at the pier but couldn’t get out because of
my injuries. I felt pure terror. I shouted for help
and a guy put his arm in and pulled me out on to
the steps. Then, another man appeared and said
he was an orthopaedic surgeon who specialized
in marine trauma. He had been driving into Doolin
when he saw what was happening on the pier.
I was so cold and very worried – I didn’t know
how bad my injuries were and my biggest fear
was internal bleeding. He checked me over and
was very reassuring, saying he couldn’t feel any
evidence of it but that I probably had broken
bones. I found out later that I had six spinal
fractures, three broken ribs and a damaged lung.","I was in hospital for five days and I couldn’t work
for five months. I couldn’t move normally and I
was in pain. Then, doctors told me I had posttraumatic
stress. My near-death experience made
me anxious about everything. I felt that people
were looking at me in the wrong way, I began to
have problems with loud noises and I suffered
from memory loss. I could no longer work."
"The temporary dwellings will be heavily policed, but antisocial tenants will also have access to doctors, social workers and parole officers. “They are taken care of so the whole situation is not going to repeat at the new house they are in,” says Boer.","Police will watch the temporary accommodation, but antisocial families will also be able to see doctors and social workers. “We will take care of them so the whole situation is not going to repeat at the new house they are in,” says Boer.",advanced_to_elementary,"simplify: The temporary dwellings will be heavily policed, but antisocial tenants will also have access to doctors, social workers and parole officers. “They are taken care of so the whole situation is not going to repeat at the new house they are in,” says Boer.","Police will watch the temporary accommodation, but antisocial families will also be able to see doctors and social workers. “We will take care of them so the whole situation is not going to repeat at the new house they are in,” says Boer."
"A degree in Spanish got me my fi rst job as a
journalist, with an international press agency
in Mexico City, but it didn’t prevent me
blundering badly as a rookie reporter.","I got a degree in Spanish and this helped
me get my fi rst job as a journalist, with an
international press agency in Mexico City.
But, the degree didn’t stop me from
making mistakes.",advanced_to_elementary,"simplify: A degree in Spanish got me my fi rst job as a
journalist, with an international press agency
in Mexico City, but it didn’t prevent me
blundering badly as a rookie reporter.","I got a degree in Spanish and this helped
me get my fi rst job as a journalist, with an
international press agency in Mexico City.
But, the degree didn’t stop me from
making mistakes."
"Reduced fertility and longer life expectancies have meant a rise in the mean age of the world’s population in a decade, from 26 years old to almost 30. It has been dramatic in Latin America, for instance, where countries like Brazil and Paraguay had life expectancy of below 30 in 1970 and almost 64 in 2010. That is a 35-year increase in the mean age of death over four decades. “In a place like Brazil, the speed of change is so fast that most institutions are ill-equipped to deal with it,” Murray said.","Reduced fertility and longer life have led to an increase in the average age of the world’s population in ten years from 26 years old to almost 30. The change has been dramatic in Latin America, for example, where countries like Brazil and Paraguay had life expectancy of below 30 in 1970 and almost 64 in 2010. That is a 35-year increase in the average age of death in forty years.",advanced_to_elementary,"simplify: Reduced fertility and longer life expectancies have meant a rise in the mean age of the world’s population in a decade, from 26 years old to almost 30. It has been dramatic in Latin America, for instance, where countries like Brazil and Paraguay had life expectancy of below 30 in 1970 and almost 64 in 2010. That is a 35-year increase in the mean age of death over four decades. “In a place like Brazil, the speed of change is so fast that most institutions are ill-equipped to deal with it,” Murray said.","Reduced fertility and longer life have led to an increase in the average age of the world’s population in ten years from 26 years old to almost 30. The change has been dramatic in Latin America, for example, where countries like Brazil and Paraguay had life expectancy of below 30 in 1970 and almost 64 in 2010. That is a 35-year increase in the average age of death in forty years."
